scenario_id,analyst_id,condition,audit_time_seconds
task-7723,analyst-2,B0_unstructured_logs,9.8428
task-7724,analyst-1,B0_unstructured_logs,8.0939
task-7724,analyst-2,B0_unstructured_logs,9.406
task-7725,analyst-1,B0_unstructured_logs,8.4346
task-7725,analyst-2,B0_unstructured_logs,8.1915
task-7726,analyst-1,B0_unstructured_logs,10.3971
task-7726,analyst-2,B0_unstructured_logs,7.7737
task-7727,analyst-1,B0_unstructured_logs,10.2419
task-7727,analyst-2,B0_unstructured_logs,7.0049
task-7728,analyst-1,B0_unstructured_logs,9.2483
task-7728,analyst-2,B0_unstructured_logs,6.6586
task-7729,analyst-1,B0_unstructured_logs,8.5118
task-7729,analyst-2,B0_unstructured_logs,8.4984
task-7730,analyst-1,B0_unstructured_logs,7.5465
task-7730,analyst-2,B0_unstructured_logs,9.9394
task-7731,analyst-1,B0_unstructured_logs,6.2099
task-7731,analyst-2,B0_unstructured_logs,10.28
task-7732,analyst-1,B0_unstructured_logs,8.3082
task-7732,analyst-2,B0_unstructured_logs,9.4585
task-7733,analyst-1,B0_unstructured_logs,6.3793
task-7733,analyst-2,B0_unstructured_logs,9.0062
task-7734,analyst-1,B0_unstructured_logs,6.7551
task-7734,analyst-2,B0_unstructured_logs,6.6379
task-7735,analyst-1,B0_unstructured_logs,9.631
task-7735,analyst-2,B0_unstructured_logs,10.237
task-7736,analyst-1,B0_unstructured_logs,9.258
task-7736,analyst-2,B0_unstructured_logs,9.2998
task-7737,analyst-1,B0_unstructured_logs,6.1877
task-7737,analyst-2,B0_unstructured_logs,7.9182
task-7738,analyst-1,B0_unstructured_logs,7.7689
task-7738,analyst-2,B0_unstructured_logs,7.9111
task-7739,analyst-1,B0_unstructured_logs,10.3478
task-7739,analyst-2,B0_unstructured_logs,10.6941
task-7740,analyst-1,B0_unstructured_logs,9.7984
task-7740,analyst-2,B0_unstructured_logs,8.5397
task-7741,analyst-1,B0_unstructured_logs,7.1249
task-7741,analyst-2,B0_unstructured_logs,8.8558
task-7742,analyst-1,B0_unstructured_logs,10.0941
task-7742,analyst-2,B0_unstructured_logs,8.8999
task-7743,analyst-1,B0_unstructured_logs,8.0957
task-7743,analyst-2,B0_unstructured_logs,10.2554
task-7744,analyst-1,B0_unstructured_logs,8.5719
task-7744,analyst-2,B0_unstructured_logs,8.5302
task-7745,analyst-1,B0_unstructured_logs,8.8422
task-7745,analyst-2,B0_unstructured_logs,9.2891
task-7746,analyst-1,B0_unstructured_logs,9.1349
task-7746,analyst-2,B0_unstructured_logs,8.278
task-7747,analyst-1,B0_unstructured_logs,7.1029
task-7747,analyst-2,B0_unstructured_logs,9.9165
task-7748,analyst-1,B0_unstructured_logs,7.2257
task-7748,analyst-2,B0_unstructured_logs,9.9131
task-7749,analyst-1,B0_unstructured_logs,10.9349
task-7749,analyst-2,B0_unstructured_logs,8.8165
task-7700,analyst-1,B1_structured_no_commitments,5.4662
task-7700,analyst-2,B1_structured_no_commitments,7.5447
task-7701,analyst-1,B1_structured_no_commitments,6.4051
task-7701,analyst-2,B1_structured_no_commitments,5.5824
task-7702,analyst-1,B1_structured_no_commitments,7.346
task-7702,analyst-2,B1_structured_no_commitments,6.2602
task-7703,analyst-1,B1_structured_no_commitments,6.234
task-7703,analyst-2,B1_structured_no_commitments,7.2072
task-7704,analyst-1,B1_structured_no_commitments,5.7049
task-7704,analyst-2,B1_structured_no_commitments,8.2278
task-7705,analyst-1,B1_structured_no_commitments,6.9322
task-7705,analyst-2,B1_structured_no_commitments,7.4206
task-7706,analyst-1,B1_structured_no_commitments,7.7262
task-7706,analyst-2,B1_structured_no_commitments,4.714
task-7707,analyst-1,B1_structured_no_commitments,5.8193
task-7707,analyst-2,B1_structured_no_commitments,6.642
task-7708,analyst-1,B1_structured_no_commitments,7.6498
task-7708,analyst-2,B1_structured_no_commitments,7.47
task-7709,analyst-1,B1_structured_no_commitments,5.968
task-7709,analyst-2,B1_structured_no_commitments,6.8666
task-7710,analyst-1,B1_structured_no_commitments,6.3383
task-7710,analyst-2,B1_structured_no_commitments,5.5508
task-7711,analyst-1,B1_structured_no_commitments,7.8193
task-7711,analyst-2,B1_structured_no_commitments,5.7025
task-7712,analyst-1,B1_structured_no_commitments,5.6619
task-7712,analyst-2,B1_structured_no_commitments,6.7557
task-7713,analyst-1,B1_structured_no_commitments,7.4307
task-7713,analyst-2,B1_structured_no_commitments,6.8334
task-7714,analyst-1,B1_structured_no_commitments,6.4564
task-7714,analyst-2,B1_structured_no_commitments,7.303
task-7715,analyst-1,B1_structured_no_commitments,5.8646
task-7715,analyst-2,B1_structured_no_commitments,7.0531
task-7716,analyst-1,B1_structured_no_commitments,6.1961
task-7716,analyst-2,B1_structured_no_commitments,4.4846
task-7717,analyst-1,B1_structured_no_commitments,5.5628
task-7717,analyst-2,B1_structured_no_commitments,6.8528
task-7718,analyst-1,B1_structured_no_commitments,7.4836
task-7718,analyst-2,B1_structured_no_commitments,6.7202
task-7719,analyst-1,B1_structured_no_commitments,5.9328
task-7719,analyst-2,B1_structured_no_commitments,8.3636
task-7720,analyst-1,B1_structured_no_commitments,6.7534
task-7720,analyst-2,B1_structured_no_commitments,7.9673
task-7721,analyst-1,B1_structured_no_commitments,6.7415
task-7721,analyst-2,B1_structured_no_commitments,6.7005
task-7722,analyst-1,B1_structured_no_commitments,8.6354
task-7722,analyst-2,B1_structured_no_commitments,6.3693
task-7723,analyst-1,B1_structured_no_commitments,7.6497
task-7723,analyst-2,B1_structured_no_commitments,6.9382
task-7724,analyst-1,B1_structured_no_commitments,5.9642
task-7724,analyst-2,B1_structured_no_commitments,6.8187
task-7725,analyst-1,B1_structured_no_commitments,5.6437
task-7725,analyst-2,B1_structured_no_commitments,7.5096
task-7726,analyst-1,B1_structured_no_commitments,5.4797
task-7726,analyst-2,B1_structured_no_commitments,4.5135
task-7727,analyst-1,B1_structured_no_commitments,6.5026
task-7727,analyst-2,B1_structured_no_commitments,6.9716
task-7728,analyst-1,B1_structured_no_commitments,6.3198
task-7728,analyst-2,B1_structured_no_commitments,6.2831
task-7729,analyst-1,B1_structured_no_commitments,5.7451
task-7729,analyst-2,B1_structured_no_commitments,6.796
task-7730,analyst-1,B1_structured_no_commitments,8.1874
task-7730,analyst-2,B1_structured_no_commitments,5.6187
task-7731,analyst-1,B1_structured_no_commitments,6.2729
task-7731,analyst-2,B1_structured_no_commitments,7.6511
task-7732,analyst-1,B1_structured_no_commitments,6.5038
task-7732,analyst-2,B1_structured_no_commitments,5.9279
task-7733,analyst-1,B1_structured_no_commitments,7.8703
task-7733,analyst-2,B1_structured_no_commitments,6.1294
task-7734,analyst-1,B1_structured_no_commitments,7.6181
task-7734,analyst-2,B1_structured_no_commitments,8.2995
task-7735,analyst-1,B1_structured_no_commitments,7.1676
task-7735,analyst-2,B1_structured_no_commitments,6.1635
task-7736,analyst-1,B1_structured_no_commitments,6.8591
task-7736,analyst-2,B1_structured_no_commitments,5.0895
task-7737,analyst-1,B1_structured_no_commitments,6.1753
task-7737,analyst-2,B1_structured_no_commitments,7.2067
task-7738,analyst-1,B1_structured_no_commitments,5.8313
task-7738,analyst-2,B1_structured_no_commitments,3.7806
task-7739,analyst-1,B1_structured_no_commitments,6.2332
task-7739,analyst-2,B1_structured_no_commitments,5.7128
task-7740,analyst-1,B1_structured_no_commitments,6.2057
task-7740,analyst-2,B1_structured_no_commitments,6.192
task-7741,analyst-1,B1_structured_no_commitments,6.2219
task-7741,analyst-2,B1_structured_no_commitments,8.1518
task-7742,analyst-1,B1_structured_no_commitments,6.7981
task-7742,analyst-2,B1_structured_no_commitments,5.748
task-7743,analyst-1,B1_structured_no_commitments,6.2344
task-7743,analyst-2,B1_structured_no_commitments,8.4989
task-7744,analyst-1,B1_structured_no_commitments,6.3331
task-7744,analyst-2,B1_structured_no_commitments,6.4454
task-7745,analyst-1,B1_structured_no_commitments,6.3439
task-7745,analyst-2,B1_structured_no_commitments,6.4776
task-7746,analyst-1,B1_structured_no_commitments,6.07
task-7746,analyst-2,B1_structured_no_commitments,5.9458
task-7747,analyst-1,B1_structured_no_commitments,4.4279
task-7747,analyst-2,B1_structured_no_commitments,6.9176
task-7748,analyst-1,B1_structured_no_commitments,6.7024
task-7748,analyst-2,B1_structured_no_commitments,6.2093
task-7749,analyst-1,B1_structured_no_commitments,6.5665
task-7749,analyst-2,B1_structured_no_commitments,6.3543
task-7700,analyst-1,CACP_decision_cards,5.1672
task-7700,analyst-2,CACP_decision_cards,4.9771
task-7701,analyst-1,CACP_decision_cards,5.1676
task-7701,analyst-2,CACP_decision_cards,3.9137
task-7702,analyst-1,CACP_decision_cards,4.7992
task-7702,analyst-2,CACP_decision_cards,5.4775
task-7703,analyst-1,CACP_decision_cards,5.4394
task-7703,analyst-2,CACP_decision_cards,4.5867
task-7704,analyst-1,CACP_decision_cards,4.9044
task-7704,analyst-2,CACP_decision_cards,4.1467
task-7705,analyst-1,CACP_decision_cards,4.7411
task-7705,analyst-2,CACP_decision_cards,4.5637
task-7706,analyst-1,CACP_decision_cards,5.1283
task-7706,analyst-2,CACP_decision_cards,5.2513
task-7707,analyst-1,CACP_decision_cards,5.0628
task-7707,analyst-2,CACP_decision_cards,4.8293
task-7708,analyst-1,CACP_decision_cards,3.9491
task-7708,analyst-2,CACP_decision_cards,4.9108
task-7709,analyst-1,CACP_decision_cards,5.7128
task-7709,analyst-2,CACP_decision_cards,4.6374
task-7710,analyst-1,CACP_decision_cards,4.706
task-7710,analyst-2,CACP_decision_cards,4.8875
task-7711,analyst-1,CACP_decision_cards,3.7716
task-7711,analyst-2,CACP_decision_cards,3.8831
task-7712,analyst-1,CACP_decision_cards,4.2011
task-7712,analyst-2,CACP_decision_cards,4.3394
task-7713,analyst-1,CACP_decision_cards,4.7455
task-7713,analyst-2,CACP_decision_cards,5.8643
task-7714,analyst-1,CACP_decision_cards,5.2063
task-7714,analyst-2,CACP_decision_cards,5.0375
task-7715,analyst-1,CACP_decision_cards,5.7891
task-7715,analyst-2,CACP_decision_cards,5.7611
task-7716,analyst-1,CACP_decision_cards,4.3227
task-7716,analyst-2,CACP_decision_cards,6.0859
task-7717,analyst-1,CACP_decision_cards,4.9836
task-7717,analyst-2,CACP_decision_cards,6.3646
task-7718,analyst-1,CACP_decision_cards,4.7009
task-7718,analyst-2,CACP_decision_cards,5.3066
task-7719,analyst-1,CACP_decision_cards,5.1475
task-7719,analyst-2,CACP_decision_cards,4.904
task-7720,analyst-1,CACP_decision_cards,4.4382
task-7720,analyst-2,CACP_decision_cards,4.0685
task-7721,analyst-1,CACP_decision_cards,4.4476
task-7721,analyst-2,CACP_decision_cards,4.2869
task-7722,analyst-1,CACP_decision_cards,5.7562
task-7722,analyst-2,CACP_decision_cards,3.9303
task-7723,analyst-1,CACP_decision_cards,5.7431
task-7723,analyst-2,CACP_decision_cards,5.3715
task-7724,analyst-1,CACP_decision_cards,5.3249
task-7724,analyst-2,CACP_decision_cards,4.8469
task-7725,analyst-1,CACP_decision_cards,4.8647
task-7725,analyst-2,CACP_decision_cards,5.0122
task-7726,analyst-1,CACP_decision_cards,5.2817
task-7726,analyst-2,CACP_decision_cards,4.4476
task-7727,analyst-1,CACP_decision_cards,4.9752
task-7727,analyst-2,CACP_decision_cards,5.511
task-7728,analyst-1,CACP_decision_cards,5.0729
task-7728,analyst-2,CACP_decision_cards,4.4868
task-7729,analyst-1,CACP_decision_cards,4.873
task-7729,analyst-2,CACP_decision_cards,5.0791
task-7730,analyst-1,CACP_decision_cards,4.4372
task-7730,analyst-2,CACP_decision_cards,5.5948
task-7731,analyst-1,CACP_decision_cards,4.4269
task-7731,analyst-2,CACP_decision_cards,4.002
task-7732,analyst-1,CACP_decision_cards,5.9274
task-7732,analyst-2,CACP_decision_cards,5.3726
task-7733,analyst-1,CACP_decision_cards,5.2037
task-7733,analyst-2,CACP_decision_cards,4.0071
task-7734,analyst-1,CACP_decision_cards,4.5948
task-7734,analyst-2,CACP_decision_cards,5.2868
task-7735,analyst-1,CACP_decision_cards,5.258
task-7735,analyst-2,CACP_decision_cards,5.2911
task-7736,analyst-1,CACP_decision_cards,4.7442
task-7736,analyst-2,CACP_decision_cards,5.5319
task-7737,analyst-1,CACP_decision_cards,4.5073
task-7737,analyst-2,CACP_decision_cards,4.8959
task-7738,analyst-1,CACP_decision_cards,4.794
task-7738,analyst-2,CACP_decision_cards,4.8046
task-7739,analyst-1,CACP_decision_cards,5.4662
task-7739,analyst-2,CACP_decision_cards,4.424
task-7740,analyst-1,CACP_decision_cards,3.7322
task-7740,analyst-2,CACP_decision_cards,5.2359
task-7741,analyst-1,CACP_decision_cards,5.266
task-7741,analyst-2,CACP_decision_cards,4.3672
task-7742,analyst-1,CACP_decision_cards,4.8164
task-7742,analyst-2,CACP_decision_cards,4.9505
task-7743,analyst-1,CACP_decision_cards,5.4915
task-7743,analyst-2,CACP_decision_cards,4.7453
task-7744,analyst-1,CACP_decision_cards,3.8602
task-7744,analyst-2,CACP_decision_cards,3.894
task-7745,analyst-1,CACP_decision_cards,3.8801
task-7745,analyst-2,CACP_decision_cards,5.3067
task-7746,analyst-1,CACP_decision_cards,5.0964
task-7746,analyst-2,CACP_decision_cards,4.9907
task-7747,analyst-1,CACP_decision_cards,4.9515
task-7747,analyst-2,CACP_decision_cards,4.3599
task-7748,analyst-1,CACP_decision_cards,5.6999
task-7748,analyst-2,CACP_decision_cards,4.9856
task-7749,analyst-1,CACP_decision_cards,5.6251
task-7749,analyst-2,CACP_decision_cards,4.982
