task_id,proposal_hash,hunter_signature_present,policy_result,policy_clause,policy_reason,policy_signature_present,committed,ledger_previous_hash_after_commit
task-7729,sha256:206fbd81f0d8b6ac53cb3f0d812e167efce61ab18c776632bdb51ae381177cfb,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:4c36a3f836c7da7803c39afa7da4f045a94c65da0a3897840917c654741c7b89
task-7730,sha256:daaaa0529246513394e6c9e2a03ba6f2f87e2d4d38f1b07c21907ca9493c8b75,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:c1352f339ce1246ee90a34798ec3ab1bc28d59866b6981091abb3545b06d1a31
task-7731,sha256:98d8e64dcf54f80e833079ad80f96feb5d902d97623e5001e6dcf2ecff2fa92c,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:19e1b02b1f8875108112e7fac7190ceaf2d94d647da68a515506242fd2381b9b
task-7732,sha256:5c5de44c051977c78d5fcc301c6f0b7c64673973ccee22f23cf2fefac0b39af0,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:2108457db5d7df31cd9cd7a33c731701aeca29d09d452748ff8670149a49a801
task-7733,sha256:faab3ad7a25bac59d8fa551285cb341ade4feab7998012202fc339b20e3b2cb6,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:4aa9ef62da7ed194f31a40ac41f7cec205c2d0c7ab7d63425d375ab4da25289f
task-7734,sha256:a36b1fa592c5ae7c43ada63cfc51a49dacf0c86f2097447f08ffc5c6cf78b7ab,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:d9b9cee53ae00f8d82e9a2e5714894e4c0cc301bcc2e578bd6b07a1fa85e25dd
task-7735,sha256:70e6a54817b4f1d698debcdcac420a8f0a21e9b02c47eddc6dc60941ca338a52,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:6918a60f78ddbec770b1ef0202b8d68470f1bba6d09954462abf0d3d45a5b6b5
task-7736,sha256:717bd8f770f26c71e33b51b6e36ecf619637630da9defce0abd5f865b7aa3d0b,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:dd0a3a07d2411cba2df3db2bd73ed9417a5274c7afee225439debb57da1ecc89
task-7737,sha256:bdb99c65460ee9332d7b07a88253bff0265ecff9711562d6d9de352b9ea47ea3,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:4586cca03f9c085243adc76ec8f7571a619ba3b3a6c7bd55b24557bd620491f1
task-7738,sha256:d4135946f82f9a7cfff295b97c0d2e52f8bea72c1a17c8b6b2630941441982a9,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:da491bd3757ecb56bb3c8fc72f4ec764b540cb02c9217677ba001cc7f964be6a
task-7739,sha256:e033bc6d29aa15182d37ab3bae2d04b6f944042759f488aaccff8c2908a2e374,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:847690af7c5a76c901280b6cd52c8d906abd9a1ba19443473b65d4f52b58088e
task-7740,sha256:d20af2ca62302eb835ee6890d606077368ef54f6e60063e2ddb68db320fc1fe3,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:dfbce75869bb9b0aa8aa459796734be60a83da7af2def54e6448591dc5cac745
task-7741,sha256:629124b4f986dbeaddad26a6f84b1505a58b6ed81c5a7a5b466eaf626afcbbd5,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:b8d9bb98fa28cf92d9a11c20c4ce81d3242bbcbd1d51669870718b435e105ef2
task-7742,sha256:0d1e16a26b769651ea64738726d7fd0a555e32a99f2221a42550bd84682aa1d6,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:e10271a53e7047e1f85962eaec12f224d14d275a623d7d2fb4f4710f17336635
task-7743,sha256:50e79322223f31c016e25d71066dd34819b9f0950a5867af699707e37882ee57,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:20c5925c20ad246fac16a11a4a9c8a26f509cbc6f62ecca736636011f6585c45
task-7744,sha256:4fb5190475f8e2caf2817998a7a66d42f1834b8cbf13c81007c89a16f7f9f299,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:24d7f69f9fa073cd6f896133d47a3f7c81f783a54116380e08b3a4c25f464115
task-7745,sha256:4aded6e494f82fb4e67d2ddbec2de91dfb80e1e5f30f5544562ab558acba5960,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:48330f988e5d404da1f92330f1fb6ec5e9637ec3532f61eae14b658bbae5b396
task-7746,sha256:63c65a3d1e046185253f7af4bb0859f5ac1dba13e24e9d81a05f73b8a7271af8,True,acc,ROE-SEC-07,Proposal satisfies deterministic RoE rule.,True,True,sha256:00e1fafed0ba090c6cf07ee21b1aec4f79aae820b948ecdd4d2571a9a588fbc2
task-7747,sha256:18bc1e20610e19ba8eac6e8ecf0c17067f7d59c6e6406d2cee32c4449c25992c,True,acc,ROE-SEC-04,Proposal satisfies deterministic RoE rule.,True,True,sha256:208beeeaddcfd1c7ef7d469f80896b84b71db8d81052214b675cc1205ac1280b
task-7748,sha256:9d9bff195b9366a12c465aa785b7077c1288a049b6beb5a4a3682362024214a9,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:b215667c7a5e5dc7ee15e816d91343ba4606ff438589170e09113604a3e489f5
task-7749,sha256:d2a98ab38032619349913c92e5a3d761eafcf2ef32fddc5e6cac2909e0124584,True,acc,ROE-SEC-01,Proposal satisfies deterministic RoE rule.,True,True,sha256:2e6e6773a684a0b9e5cffbc96e0433d7f8dd12a43f5a6accfb94dacdc3a58c81
